platform_id,match_key,resolved_province,resolved_city,resolved_county,county_applicable,evidence_rows,first_month_id,last_month_id,matched_alias_count
1,ADDR|上海市闵行区虹梅南路1755号一幢一层cf1055室,上海市,上海市,闵行区,1,36,202601,202606,3
1,ADDR|上海市金山区朱泾镇南横街4号4幢1407室a座roomaroom1407building4no4zhujingzhennanhengstreetjinshandistrictshanghai,上海市,上海市,金山区,1,6,202601,202606,4
1,ADDR|上海市奉贤区海湾旅游区奉新北路22号329室,上海市,上海市,奉贤区,1,6,202601,202606,3
1,ADDR|北京市海淀区上地信息路1号2号楼803,北京市,北京市,海淀区,1,6,202601,202606,3
1,ADDR|广东省中山市东凤镇小沥社区东海五路71号二楼之二,广东省,中山市,,0,12,202601,202606,4
1,ADDR|上海市金山区亭林镇松隐育才路121弄22号1幢752室,上海市,上海市,金山区,1,36,202601,202606,3
1,ADDR|上海市金山区张堰镇松金公路2514号1幢2697室,上海市,上海市,金山区,1,24,202601,202606,3
1,ADDR|广东省东莞市南城街道宏一路1号1栋2001室集群注册,广东省,东莞市,,0,6,202601,202606,4
1,ADDR|上海市浦东新区东方路3601号5号楼1215室,上海市,上海市,浦东新区,1,12,202601,202606,3
1,ADDR|上海市杨浦区杨树浦路2310号1002室,上海市,上海市,杨浦区,1,6,202601,202606,3
1,ADDR|上海市杨浦区国定路323号110276室room32376noguodingroadyangpudistrictshanghai,上海市,上海市,杨浦区,1,30,202601,202606,4
1,ADDR|上海市金山区廊下镇漕廊公路7598号1幢113室,上海市,上海市,金山区,1,12,202601,202606,3
1,ADDR|广东省东莞市中堂镇江南开发区兆鑫服装有限公司第三层,广东省,东莞市,,0,6,202601,202606,4
